station,state,latitude,longitude,elevation,avg_temp,total_prcp
HAVRE CITY CO AP,MT,48.5428,-109.7633,787.9,49.46480916030534,4.58267964
HAWTHORNE MUNI AP,CA,33.9228,-118.3342,19.2,65.74723076923077,12.02756555
HAYWARD AIR TERMINAL,CA,37.6542,-122.115,13.1,60.846374045801525,13.69685779
HAYWARD MUNI AP,WI,46.0261,-91.4442,367.0,45.58273076923077,30.88584345
HELENA RGNL AP,MT,46.6056,-111.9636,1166.8,50.234618320610686,7.03149986
HERMISTON MUNI AP,OR,45.8258,-119.2611,195.4,55.68869230769231,6.00000324
HETTINGER MUNI AP,ND,46.0139,-102.6547,824.5,47.25188461538461,4.77165612
HIBBING CHISHOLM HIBBING AP,MN,47.3864,-92.8389,412.1,40.99065384615385,22.94095727
HICKORY FAA AP,NC,35.7425,-81.3819,348.4,63.00809160305343,36.40946848
HILL CITY MUNI AP,KS,39.3756,-99.8297,666.9,59.42230769230769,16.40158366
HILO INTL AP,HI,19.7192,-155.0531,11.6,74.33503816793893,56.36617217
